Transaction_ID,Date,Customer_ID,Product_SKU,Product_Name,Category,Region,Channel,Payment_Method,Quantity,Unit_Price,Discount_Rate,Revenue
TXN-00571,2024-11-03,CUST-3482,SKU-002,Running Shoes,Footwear,East,Marketplace,Bank Transfer,4,1799.0,0.15,6116.6
TXN-00060,2024-06-18,CUST-3552,SKU-007,Smart Watch,Electronics,EAST,Website,Debit Card,1,4499.0,0.15,-3824.13
TXN-00291,2024-01-05,CUST-2222,SKU-003,Yoga Mat,Sports,Online,Website,Debit Card,3,649.0,0.0,1947.0
TXN-00071,2024-10-07,CUST-2826,SKU-010,Laptop Stand,Electronics,South,Marketplace,Bank Transfer,5,749.0,0.05,3557.71
TXN-00345,2024-04-16,CUST-3404,SKU-003,Yoga Mat,Sports,South,Marketplace,Credit Card,3,649.0,0.0,135.0
TXN-00185,2024-05-25,CUST-3777,SKU-006,Sunglasses,Accessories,online,Marketplace,Debit Card,4,799.0,0.0,3196.0
TXN-00142,2024-02-07,CUST-2809,SKU-005,Backpack,Accessories,East,In-Store,Bank Transfer,5,1099.0,0.0,5495.0
TXN-00391,06-Jul-2024,CUST-3220,SKU-005,Backpack,Accessories,North,Marketplace,PayPal,5,1099.0,0.2,4396.0
TXN-00492,2024-01-18,CUST-3056,SKU-005,Backpack,Accessories,Online,Mobile App,Credit Card,1,R1099.0,0.05,1044.05
TXN-00827,2024-04-11,CUST-3920,SKU-005,Backpack,Accessories,Online,Website,Bank Transfer,3,1099.0,0.2,2637.6
TXN-00102,03/07/2024,CUST-1734,SKU-004,Coffee Maker,Kitchen,East,Website,PayPal,3,2999.0,0.0,8997.0
TXN-00750,2024-12-23,CUST-1534,SKU-007,Smart Watch,Electronics,South,Marketplace,PayPal,5,4499.0,0.05,21370.21
TXN-00552,2024-10-18,CUST-3778,SKU-007,Smart Watch,Electronics,West,Mobile App,Bank Transfer,5,4499.0,0.05,-21370.21
TXN-00307,2024-04-21,CUST-3368,SKU-005,Backpack,Accessories,North,Website,Bank Transfer,1,1099.0,0.15,934.15
TXN-00987,2024-06-08,CUST-3814,SKU-008,Protein Powder,Health,West,Mobile App,Bank Transfer,5,599.0,0.15,2545.79
TXN-00322,2024-03-09,CUST-2590,SKU-007,Smart Watch,Electronics,South,In-Store,PayPal,5,4499.0,0.1,20245.57
TXN-00800,2024-04-17,CUST-3506,SKU-009,Water Bottle,Sports,,Website,Credit Card,2,349.0,0.15,593.3
TXN-00731,2024-02-06,CUST-4417,SKU-009,Water Bottle,Sports,East,Website,PayPal,1,349.0,0.15,21.25
TXN-00678,2024-01-05,CUST-1723,SKU-003,Yoga Mat,Sports,West,Marketplace,PayPal,4,649.0,0.2,2076.8
TXN-00654,2024-09-21,CUST-3860,SKU-001,Wireless Earbuds,Electronics,South,Mobile App,Credit Card,5,1299.0,0.1,5845.43
TXN-00077,2024-07-18,CUST-4495,SKU-001,Wireless Earbuds,Electronics,,Mobile App,Bank Transfer,3,1299.0,0.0,3897.0
TXN-00193,2024-06-22,CUST-1907,SKU-007,Smart Watch,Electronics,East,Mobile App,Credit Card,3,4499.0,0.15,11472.38
TXN-00087,2024-12-19,CUST-4402,SKU-004,Coffee Maker,Kitchen,S.,Website,Debit Card,1,R2999.0,0.1,2699.09
TXN-00459,2024-01-14,CUST-2306,SKU-007,Smart Watch,Electronics,Online,Mobile App,Credit Card,3,4499.0,0.0,13497.0
TXN-00913,2024-12-20,CUST-3329,SKU-006,Sunglasses,Accessories,North,In-Store,PayPal,2,799.0,0.0,1598.0
TXN-00919,2024-09-15,CUST-1137,SKU-001,Wireless Earbuds,Electronics,West,Marketplace,Bank Transfer,1,1299.0,0.05,1234.04
TXN-00733,2024-11-16,CUST-4880,SKU-009,Water Bottle,Sports,South,Marketplace,Credit Card,2,349.0,0.1,628.2
TXN-00310,2024-02-11,CUST-3796,SKU-008,Protein Powder,Health,Online,Mobile App,Debit Card,4,599.0,0.05,2276.17
TXN-00744,2024-02-10,CUST-4195,SKU-001,Wireless Earbuds,Electronics,North,In-Store,Debit Card,5,1299.0,0.05,6170.21
TXN-00874,2024-12-22,CUST-1754,SKU-010,Laptop Stand,Electronics,East,In-Store,Bank Transfer,2,749.0,0.0,1498.0
TXN-00399,2024-02-08,CUST-3595,SKU-007,Smart Watch,Electronics,North,Marketplace,Debit Card,4,4499.0,0.05,17096.17
TXN-00617,2024-10-05,CUST-4661,SKU-001,Wireless Earbuds,Electronics,Online,Marketplace,PayPal,5,1299.0,0.0,6495.0
TXN-00050,2024-06-06,CUST-2493,SKU-007,Smart Watch,Electronics,North,In-Store,PayPal,2,4499.0,0.0,8998.0
TXN-00200,2024-01-22,,SKU-010,Laptop Stand,Electronics,Online,Mobile App,Debit Card,5,749.0,0.2,2996.0
TXN-00599,2024-07-26,CUST-2773,SKU-007,Smart Watch,Electronics,East,Website,Bank Transfer,4,4499.0,0.15,15296.66
TXN-00970,2024-09-05,CUST-2687,SKU-009,Water Bottle,Sports,East,Mobile App,Credit Card,3,349.0,0.0,1047.0
TXN-00883,2024-10-01,CUST-4829,SKU-008,Protein Powder,Health,East,In-Store,Debit Card,1,599.0,0.1,539.09
TXN-00429,2024-01-29,CUST-3046,SKU-008,Protein Powder,Health,Online,Mobile App,Debit Card,5,599.0,0.0,2995.0
TXN-00498,2024-05-26,CUST-4553,SKU-010,Laptop Stand,Electronics,Online,In-Store,Bank Transfer,1,749.0,0.2,599.17
TXN-00604,2024-10-11,CUST-1579,SKU-001,Wireless Earbuds,Electronics,North,Website,Credit Card,5,R1299.0,0.2,5196.0
TXN-00011,2024-05-18,CUST-4790,SKU-003,Yoga Mat,Sports,Online,Mobile App,Debit Card,4,649.0,0.05,2466.2
TXN-00889,2024-01-19,CUST-2389,SKU-009,Water Bottle,Sports,N.,In-Store,Credit Card,4,349.0,0.0,1396.0
TXN-00671,03-Oct-2024,CUST-1133,SKU-009,Water Bottle,Sports,Online,In-Store,Bank Transfer,4,349.0,0.05,1326.2
TXN-00938,2024-12-06,CUST-3854,SKU-006,Sunglasses,Accessories,Online,Marketplace,Bank Transfer,4,799.0,0.1,198.0
TXN-00929,2024-11-28,CUST-2959,SKU-004,Coffee Maker,Kitchen,Online,Mobile App,,5,2999.0,0.0,14995.0
TXN-00558,2024-06-18,CUST-4973,SKU-008,Protein Powder,Health,East,Website,PayPal,3,599.0,0.0,1797.0
TXN-00637,2024-04-13,CUST-3141,SKU-003,Yoga Mat,Sports,Online,Marketplace,PayPal,1,649.0,0.0,649.0
TXN-00834,2024-11-13,CUST-1998,SKU-010,Laptop Stand,Electronics,ONLINE,Mobile App,Bank Transfer,4,749.0,0.0,2996.0
TXN-00372,2024-05-31,CUST-2703,SKU-001,Wireless Earbuds,Electronics,North,Website,PayPal,4,1299.0,0.0,5196.0
TXN-00835,2024-04-16,CUST-4333,SKU-007,Smart Watch,Electronics,Online,Marketplace,Bank Transfer,1,4499.0,0.0,4499.0
TXN-00583,2024-10-28,CUST-3238,SKU-004,Coffee Maker,Kitchen,Online,Mobile App,PayPal,3,2999.0,0.2,479.98
TXN-00334,2024-10-04,CUST-3628,SKU-009,Water Bottle,Sports,North,Website,Credit Card,4,349.0,0.0,1396.0
TXN-00946,2024-06-18,CUST-3651,SKU-001,Wireless Earbuds,Electronics,East,Marketplace,Debit Card,5,1299.0,0.1,5845.43
TXN-00211,2024-09-26,CUST-1154,SKU-009,Water Bottle,Sports,East,Mobile App,Bank Transfer,5,349.0,0.2,1396.0
TXN-00875,2024-08-06,CUST-3835,SKU-002,Running Shoes,Footwear,East,In-Store,PayPal,4,1799.0,0.0,7196.0
TXN-00458,2024-10-05,CUST-4200,SKU-007,Smart Watch,Electronics,West,In-Store,Debit Card,3,4499.0,0.05,12822.13
TXN-00089,2024-11-27,CUST-2397,SKU-006,Sunglasses,Accessories,North,Marketplace,Bank Transfer,1,799.0,0.1,719.1
TXN-00880,2024-11-30,CUST-3622,SKU-001,Wireless Earbuds,Electronics,North,Website,Bank Transfer,4,1299.0,0.0,5196.0
TXN-00351,2024-05-17,CUST-1631,SKU-004,Coffee Maker,Kitchen,West,Mobile App,Bank Transfer,1,2999.0,0.0,2999.0
TXN-00219,2024-07-21,CUST-3056,SKU-001,Wireless Earbuds,Electronics,Est,Mobile App,Bank Transfer,4,1299.0,0.0,5196.0
TXN-00414,2024-05-21,CUST-3640,SKU-006,Sunglasses,Accessories,NORTH,Mobile App,Debit Card,2,799.0,,1598.0
TXN-00278,2024-07-30,CUST-3828,SKU-006,Sunglasses,Accessories,South,Marketplace,Bank Transfer,4,799.0,0.0,3196.0
TXN-00960,2024-08-25,CUST-1919,SKU-008,Protein Powder,Health,North,Website,PayPal,5,599.0,0.15,2545.79
TXN-00926,2024-01-29,CUST-3108,SKU-010,Laptop Stand,Electronics,East,Website,Credit Card,3,749.0,0.15,1909.88
TXN-00214,2024-05-02,CUST-2267,SKU-008,Protein Powder,Health,West,Mobile App,Debit Card,2,599.0,0.1,1078.17
TXN-00097,2024-01-09,CUST-1381,SKU-008,Protein Powder,Health,East,Mobile App,Bank Transfer,4,599.0,0.2,1916.83
TXN-00079,2024-11-14,CUST-3187,SKU-003,Yoga Mat,Sports,North,Marketplace,Credit Card,4,649.0,0.0,2596.0
TXN-00704,2024-03-18,CUST-1203,SKU-004,Coffee Maker,Kitchen,Online,Website,PayPal,3,2999.0,0.0,8997.0
TXN-00137,2024-02-16,CUST-2777,SKU-004,Coffee Maker,Kitchen,North,Website,Bank Transfer,3,2999.0,0.0,8997.0
TXN-00209,2024-07-04,CUST-2265,SKU-009,Water Bottle,Sports,South,Mobile App,Debit Card,3,349.0,0.0,1047.0
TXN-00523,2024-06-30,CUST-1914,SKU-006,Sunglasses,Accessories,East,Marketplace,Debit Card,1,799.0,0.0,799.0
TXN-00838,2024-02-05,CUST-3450,SKU-003,Yoga Mat,Sports,North,Marketplace,Debit Card,3,649.0,0.05,1849.65
TXN-00733,2024-11-16,CUST-4880,SKU-009,Water Bottle,Sports,South,Marketplace,Credit Card,2,349.0,0.1,628.2
TXN-00569,2024-09-12,CUST-1017,SKU-010,Laptop Stand,Electronics,ONLINE,Website,Bank Transfer,5,749.0,0.0,3745.0
TXN-00261,2024-05-16,CUST-2841,SKU-004,Coffee Maker,Kitchen,South,Mobile App,Credit Card,4,2999.0,0.0,11996.0
TXN-00468,2024-12-05,CUST-2620,SKU-002,Running Shoes,Footwear,Online,Website,Debit Card,3,1799.0,0.15,4587.45
TXN-00040,2024-09-24,CUST-2295,SKU-007,Smart Watch,Electronics,East,Mobile App,Debit Card,5,4499.0,0.1,20245.57
TXN-00031,2024-08-17,CUST-1574,SKU-004,Coffee Maker,Kitchen,West,Mobile App,Debit Card,2,2999.0,0.1,5398.17
TXN-00698,2024-09-30,CUST-1034,SKU-006,Sunglasses,Accessories,West,Marketplace,Debit Card,3,799.0,0.05,2277.15
TXN-00452,2024-11-26,CUST-2816,SKU-001,Wireless Earbuds,Electronics,South,Website,Debit Card,1,1299.0,0.0,1299.0
TXN-00055,2024-06-17,CUST-2141,SKU-001,Wireless Earbuds,Electronics,North,In-Store,Debit Card,2,1299.0,0.05,2468.09
TXN-00024,2024-06-08,CUST-2634,SKU-009,Water Bottle,Sports,East,Marketplace,Bank Transfer,2,349.0,0.15,593.3
TXN-00113,2024-01-31,CUST-1679,SKU-005,Backpack,Accessories,East,In-Store,Bank Transfer,2,1099.0,0.0,2198.0
TXN-00114,2024-06-04,CUST-3866,SKU-002,Running Shoes,Footwear,west,In-Store,Bank Transfer,4,1799.0,0.15,61166.0
TXN-00110,2024-01-02,CUST-2673,SKU-009,Water Bottle,Sports,West,Marketplace,Debit Card,1,349.0,0.0,349.0
TXN-00507,2024-07-03,CUST-3886,SKU-001,Wireless Earbuds,Electronics,South,In-Store,Debit Card,4,1299.0,0.0,5196.0
TXN-00967,2024-02-09,CUST-3104,SKU-005,Backpack,Accessories,South,Mobile App,Credit Card,5,1099.0,0.15,4670.75
TXN-00950,2024-04-09,CUST-3389,SKU-001,Wireless Earbuds,Electronics,Online,Mobile App,Debit Card,5,1299.0,0.15,5520.79
TXN-00004,2024-01-04,CUST-4108,SKU-008,Protein Powder,Health,South,Marketplace,Debit Card,5,599.0,0.0,2995.0
TXN-00276,2024-09-25,CUST-3576,SKU-010,Laptop Stand,Electronics,Online,Marketplace,PayPal,4,749.0,0.0,2996.0
TXN-00657,2024-05-25,CUST-3974,SKU-002,Running Shoes,Footwear,Online,In-Store,Debit Card,1,1799.0,0.1,1619.1
TXN-00785,2024-01-13,CUST-1732,SKU-007,Smart Watch,Electronics,West,Mobile App,Bank Transfer,3,4499.0,0.05,12822.13
TXN-00855,2024-01-06,CUST-2920,SKU-006,Sunglasses,Accessories,West,Marketplace,Debit Card,5,799.0,0.2,3196.0
TXN-00760,2024-12-22,CUST-3531,SKU-005,Backpack,Accessories,East,Website,Bank Transfer,2,1099.0,0.2,1758.4
TXN-00797,2024-02-17,CUST-4147,SKU-010,Laptop Stand,Electronics,East,In-Store,Debit Card,3,749.0,0.0,2247.0
TXN-00387,2024-04-09,CUST-4339,SKU-001,Wireless Earbuds,Electronics,West,Marketplace,Bank Transfer,4,1299.0,0.0,5196.0
TXN-00395,2024-01-31,CUST-3335,SKU-004,Coffee Maker,Kitchen,East,In-Store,PayPal,2,2999.0,0.2,4798.34
TXN-00487,2024-07-08,CUST-4626,SKU-009,Water Bottle,Sports,West,In-Store,PayPal,4,349.0,0.0,1396.0
TXN-00615,2024-05-23,CUST-4517,SKU-010,Laptop Stand,Electronics,Sth,Mobile App,,1,749.0,0.2,599.17
TXN-00878,2024-03-14,CUST-3214,SKU-003,Yoga Mat,Sports,West,Mobile App,Credit Card,4,649.0,0.0,2596.0
TXN-00175,2024-06-17,CUST-3744,SKU-010,Laptop Stand,Electronics,North,Marketplace,Debit Card,5,749.0,0.1,3370.57
TXN-00918,2024-10-29,CUST-4875,SKU-007,Smart Watch,Electronics,South,Website,Bank Transfer,5,4499.0,0.0,22495.0
TXN-00059,23-Sep-2024,CUST-4791,SKU-001,Wireless Earbuds,Electronics,Online,Mobile App,Debit Card,4,1299.0,0.0,5196.0
TXN-00266,2024-02-25,CUST-2765,SKU-005,Backpack,Accessories,South,In-Store,Debit Card,5,1099.0,0.0,5495.0
TXN-00064,2024-04-19,CUST-3093,SKU-008,Protein Powder,Health,West,Mobile App,Credit Card,4,599.0,0.15,2036.66
TXN-00790,2024-04-02,CUST-1481,SKU-008,Protein Powder,Health,South,Mobile App,Credit Card,3,599.0,0.15,1527.38
TXN-00262,2024-11-11,CUST-2712,SKU-001,Wireless Earbuds,Electronics,South,Mobile App,Debit Card,3,1299.0,0.05,3702.13
TXN-00101,2024-10-28,CUST-5000,SKU-004,Coffee Maker,Kitchen,Online,In-Store,Credit Card,4,2999.0,0.0,11996.0
TXN-00028,2024-05-04,CUST-4213,SKU-010,Laptop Stand,Electronics,West,Marketplace,PayPal,5,749.0,0.05,3557.71
TXN-00300,2024-04-22,CUST-4921,SKU-006,Sunglasses,Accessories,South,Marketplace,PayPal,5,799.0,0.0,3995.0
TXN-00616,2024-09-16,CUST-3587,SKU-002,Running Shoes,Footwear,North,Marketplace,PayPal,1,1799.0,0.0,1799.0
TXN-00179,2024-12-25,CUST-4122,SKU-001,Wireless Earbuds,Electronics,East,In-Store,Debit Card,2,1299.0,0.0,2598.0
TXN-00934,2024-02-27,CUST-3855,SKU-002,Running Shoes,Footwear,South,Marketplace,PayPal,2,1799.0,0.0,3598.0
TXN-00779,2024-01-22,CUST-3490,SKU-007,Smart Watch,Electronics,West,In-Store,Bank Transfer,4,4499.0,0.2,14396.83
TXN-00140,2024-07-14,CUST-3538,SKU-003,Yoga Mat,Sports,South,Marketplace,PayPal,1,649.0,0.1,584.1
TXN-00804,2024-11-16,CUST-4263,SKU-002,Running Shoes,Footwear,North,Mobile App,Bank Transfer,1,1799.0,0.05,1709.05
TXN-00169,2024-02-03,CUST-1516,SKU-006,Sunglasses,Accessories,East,In-Store,Bank Transfer,5,799.0,0.0,3995.0
TXN-00067,2024-02-07,CUST-2865,SKU-008,Protein Powder,Health,West,Mobile App,Bank Transfer,5,599.0,0.2,2396.0
TXN-00257,2024-11-24,CUST-4918,SKU-008,Protein Powder,Health,East,Marketplace,PayPal,5,599.0,0.0,2995.0
TXN-00068,2024-03-16,CUST-3687,SKU-008,Protein Powder,Health,North,Website,Bank Transfer,4,599.0,0.0,2396.0
TXN-00995,2024-02-04,CUST-3040,SKU-002,Running Shoes,Footwear,North,Mobile App,Bank Transfer,1,1799.0,0.2,1439.2
TXN-00013,2024-06-10,CUST-1870,SKU-002,Running Shoes,Footwear,West,Marketplace,Bank Transfer,2,1799.0,0.1,3238.2
TXN-00532,2024-12-12,CUST-1016,SKU-009,Water Bottle,Sports,South,Mobile App,Debit Card,2,349.0,0.0,698.0
TXN-00320,2024-06-02,CUST-2541,SKU-007,Smart Watch,Electronics,South,Marketplace,PayPal,4,4499.0,0.0,17996.0
TXN-00985,2024-09-23,CUST-1556,SKU-002,Running Shoes,Footwear,West,In-Store,Debit Card,4,1799.0,0.0,7196.0
TXN-00867,2024-01-22,CUST-1398,SKU-006,Sunglasses,Accessories,online,In-Store,Bank Transfer,5,799.0,15.0,3395.75
TXN-00577,2024-01-13,CUST-2560,SKU-001,Wireless Earbuds,Electronics,South,Website,Credit Card,5,1299.0,0.0,6495.0
TXN-00335,2024-03-11,CUST-4451,SKU-001,Wireless Earbuds,Electronics,South,Website,PayPal,1,1299.0,0.05,85.49
TXN-00287,2024-07-30,CUST-2352,SKU-004,Coffee Maker,Kitchen,West,Website,PayPal,1,2999.0,0.0,2999.0
TXN-00912,2024-04-09,CUST-3588,SKU-003,Yoga Mat,Sports,East,In-Store,PayPal,4,649.0,0.15,2206.6
TXN-00324,2024/11/05,CUST-3469,SKU-005,Backpack,Accessories,North,Website,PayPal,4,1099.0,0.15,3736.6
TXN-00891,2024-01-19,CUST-4012,SKU-010,Laptop Stand,Electronics,South,Marketplace,Credit Card,2,749.0,0.0,1498.0
TXN-00537,23-Nov-2024,CUST-2047,SKU-006,Sunglasses,Accessories,Online,Website,Credit Card,1,799.0,0.05,759.05
TXN-00693,2024-03-28,CUST-1117,SKU-003,Yoga Mat,Sports,North,In-Store,Debit Card,5,649.0,0.2,2596.0
TXN-00650,2024-02-16,CUST-4372,SKU-007,Smart Watch,Electronics,South,Marketplace,Bank Transfer,1,4499.0,0.2,3599.17
TXN-00529,2024-03-27,CUST-3360,SKU-005,Backpack,Accessories,South,Marketplace,Credit Card,2,1099.0,0.2,1758.4
TXN-00514,2024-06-27,CUST-2880,SKU-007,Smart Watch,Electronics,East,Mobile App,Bank Transfer,4,4499.0,0.2,14396.83
TXN-00586,2024-06-18,CUST-2910,SKU-010,Laptop Stand,Electronics,South,Website,PayPal,3,749.0,0.0,2247.0
TXN-00003,2024-01-14,CUST-3298,SKU-004,Coffee Maker,Kitchen,South,Marketplace,PayPal,5,2999.0,0.1,13495.57
TXN-00446,2024-04-16,CUST-2851,SKU-009,Water Bottle,Sports,East,Marketplace,Debit Card,3,349.0,0.2,837.6
TXN-00238,2024-11-22,CUST-2663,SKU-001,Wireless Earbuds,Electronics,East,Mobile App,Credit Card,1,1299.0,0.15,76.49
TXN-00496,2024-01-07,CUST-4221,SKU-009,Water Bottle,Sports,Online,Marketplace,Credit Card,4,349.0,0.2,1116.8
TXN-00782,2024-05-29,CUST-2800,SKU-009,Water Bottle,Sports,West,In-Store,Debit Card,1,349.0,0.0,3490.0
TXN-00328,2024-05-13,CUST-2473,SKU-009,Water Bottle,Sports,Online,Marketplace,Bank Transfer,3,349.0,0.0,1047.0
TXN-00548,2024-03-11,CUST-3717,SKU-001,Wireless Earbuds,Electronics,South,In-Store,Debit Card,1,1299.0,0.2,1039.17
TXN-00859,2024-11-11,CUST-2150,SKU-005,Backpack,Accessories,East,In-Store,Credit Card,3,1099.0,0.0,3297.0
TXN-00530,2024-11-20,CUST-2758,SKU-003,Yoga Mat,Sports,Wst,Marketplace,Bank Transfer,5,649.0,0.05,3082.75
TXN-00347,2024-06-26,CUST-1219,SKU-003,Yoga Mat,Sports,North,Marketplace,PayPal,1,649.0,0.1,584.1
TXN-00488,2024-08-13,CUST-2904,SKU-008,Protein Powder,Health,,Mobile App,Debit Card,1,599.0,,599.0
TXN-00584,2024-12-15,CUST-1305,SKU-005,Backpack,Accessories,South,Mobile App,Credit Card,4,1099.0,0.0,0.0
TXN-00594,2024-02-12,CUST-4883,SKU-004,Coffee Maker,Kitchen,North,Mobile App,Credit Card,3,2999.0,0.1,8097.26
TXN-00588,2024-04-22,CUST-4919,SKU-002,Running Shoes,Footwear,SOUTH,Website,PayPal,3,1799.0,0.1,4857.3
TXN-00309,2024-03-10,CUST-4136,SKU-005,Backpack,Accessories,Wst,In-Store,Bank Transfer,4,1099.0,0.0,4396.0
TXN-00132,2024-08-30,CUST-3888,SKU-001,Wireless Earbuds,Electronics,West,Marketplace,PayPal,3,1299.0,0.15,3312.39
TXN-00994,2024-09-07,CUST-3036,SKU-002,Running Shoes,Footwear,South,Mobile App,Credit Card,1,1799.0,0.0,120.0
TXN-00232,2024-07-01,CUST-4531,SKU-001,Wireless Earbuds,Electronics,north,In-Store,Debit Card,2,1299.0,0.0,2598.0
TXN-00630,2024-09-02,CUST-2962,SKU-002,Running Shoes,Footwear,South,Mobile App,Bank Transfer,4,1799.0,0.15,6116.6
TXN-00602,2024-12-04,CUST-1126,SKU-008,Protein Powder,Health,West,Mobile App,PayPal,4,599.0,0.05,2276.17
TXN-00663,2024-06-29,CUST-3115,SKU-004,Coffee Maker,Kitchen,Online,Website,Debit Card,3,2999.0,0.05,-8547.13
TXN-00692,2024-05-06,CUST-4021,SKU-007,Smart Watch,Electronics,East,Marketplace,PayPal,3,4499.0,0.0,899.97
TXN-00916,2024-09-24,CUST-3003,SKU-002,Running Shoes,Footwear,South,Marketplace,Bank Transfer,4,1799.0,0.2,5756.8
TXN-00315,2024-11-02,CUST-3752,SKU-010,Laptop Stand,Electronics,North,Mobile App,Credit Card,1,749.0,0.05,-711.54
TXN-00107,2024-10-12,CUST-4131,SKU-002,Running Shoes,Footwear,West,Mobile App,Bank Transfer,2,1799.0,0.0,3598.0
TXN-00824,2024-02-06,CUST-2275,SKU-010,Laptop Stand,Electronics,Online,In-Store,,2,749.0,,1498.0
TXN-00056,2024-10-01,CUST-2356,SKU-009,Water Bottle,Sports,North,Website,Debit Card,4,349.0,0.15,1186.6
TXN-00121,2024-06-14,CUST-1474,SKU-002,Running Shoes,Footwear,West,Website,Bank Transfer,3,1799.0,0.0,5397.0
TXN-00371,2024-12-13,CUST-3410,SKU-006,Sunglasses,Accessories,Online,Mobile App,Debit Card,4,799.0,0.05,3036.2
TXN-00026,2024-11-19,CUST-1241,SKU-001,Wireless Earbuds,Electronics,South,Website,Credit Card,1,1299.0,0.15,1104.13
TXN-00073,2024-05-26,CUST-1960,SKU-005,Backpack,Accessories,East,In-Store,Debit Card,4,1099.0,0.0,4396.0
TXN-00161,2024-10-16,CUST-1840,SKU-006,Sunglasses,Accessories,North,Mobile App,PayPal,2,R799.0,0.0,110.0
TXN-00045,2024-02-29,CUST-4644,SKU-002,Running Shoes,Footwear,North,Mobile App,Debit Card,2,1799.0,0.0,3598.0
TXN-00297,2024-05-16,CUST-4907,SKU-007,Smart Watch,Electronics,East,In-Store,Credit Card,2,4499.0,0.05,8548.09
TXN-00329,2024-06-12,CUST-4745,SKU-002,Running Shoes,Footwear,Sth,In-Store,Debit Card,4,1799.0,0.2,5756.8
TXN-00248,2024-10-20,CUST-2511,SKU-001,Wireless Earbuds,Electronics,WEST,Mobile App,Credit Card,3,1299.0,0.1,3507.26
TXN-00337,2024-10-09,CUST-2684,SKU-001,Wireless Earbuds,Electronics,North,Website,Debit Card,1,1299.0,0.1,1169.09
TXN-00352,2024-02-16,CUST-1021,SKU-006,Sunglasses,Accessories,East,Marketplace,Debit Card,3,799.0,0.0,2397.0
TXN-00362,2024-12-21,CUST-3592,SKU-006,Sunglasses,Accessories,West,Mobile App,Debit Card,3,799.0,0.15,2037.45
TXN-00138,2024-01-24,CUST-2328,SKU-003,Yoga Mat,Sports,North,In-Store,Debit Card,3,649.0,0.0,1947.0
